date,confirm
2022-01-20,21537
2022-01-21,21712
2022-01-22,16370
2022-01-23,14965
2022-01-24,20722
2022-01-25,18877
2022-01-26,16385
2022-01-27,13379
2022-01-28,11931
2022-01-29,14019
2022-01-30,11770
2022-01-31,13180
2022-02-01,13101
2022-02-02,11726
2022-02-03,9989
2022-02-04,8690
2022-02-05,7006
2022-02-06,7280
2022-02-07,10090
2022-02-08,9735
2022-02-09,9937
2022-02-10,8420
2022-02-11,7954
2022-02-12,6597
2022-02-13,5833
2022-02-14,10218
2022-02-15,9431
2022-02-16,8984
2022-02-17,8055
2022-02-18,7113
2022-02-19,5164
2022-02-20,6654
2022-02-21,8175
2022-02-22,8560
2022-02-23,7996
2022-02-24,7357
2022-02-25,6371
2022-02-26,5787
2022-02-27,6379
2022-02-28,9899
2022-03-01,10533
2022-03-02,10703
2022-03-03,9833
2022-03-04,9688
2022-03-05,8956
2022-03-06,9906
2022-03-07,13209
2022-03-08,14458
2022-03-09,15457
2022-03-10,13867
2022-03-11,13961
2022-03-12,11930
2022-03-13,6136
2022-03-14,24672
2022-03-15,18613
2022-03-16,20772
2022-03-17,19010
2022-03-18,18926
2022-03-19,16303
2022-03-20,15593
2022-03-21,21707
2022-03-22,24311
2022-03-23,25354
2022-03-24,22393
2022-03-25,19205
2022-03-26,16376
2022-03-27,17024
2022-03-28,22852
2022-03-29,24153
2022-03-30,24611
2022-03-31,22258
2022-04-01,19094
2022-04-02,15527
2022-04-03,15909
2022-04-04,21753
2022-04-05,22642
2022-04-06,21537
2022-04-07,19518
2022-04-08,17065
2022-04-09,14504
2022-04-10,13584
2022-04-11,16644
2022-04-12,18076
2022-04-13,16531
2022-04-14,14403
2022-04-15,12217
2022-04-16,9589
2022-04-17,11199
2022-04-18,12004
2022-04-19,16364
2022-04-20,16457
2022-04-21,14040
2022-04-22,12031
2022-04-23,9745
2022-04-24,8344
2022-04-25,10467
2022-04-26,12687
2022-04-27,12756
2022-04-28,12361
2022-04-29,10090
2022-04-30,8821
2022-05-01,7760
2022-05-02,10692
2022-05-03,11428
2022-05-04,17362
2022-05-05,12623
2022-05-06,10155
2022-05-07,8420
2022-05-08,8094
2022-05-09,11001
2022-05-10,12578
2022-05-11,12098
2022-05-12,11402
2022-05-13,10370
2022-05-14,8666
2022-05-15,8499
2022-05-16,11932
2022-05-17,11650
2022-05-18,10346
2022-05-19,9687
2022-05-20,9570
2022-05-21,8458
2022-05-22,6986
2022-05-23,9157
2022-05-24,9641
2022-05-25,9447
2022-05-26,8296
2022-05-27,7181
2022-05-28,5976
2022-05-29,6131
2022-05-30,7761
2022-05-31,8106
2022-06-01,7635
2022-06-02,6842
2022-06-03,6519
2022-06-04,4695
2022-06-05,5108
2022-06-06,6452
2022-06-07,8429
2022-06-08,7123
2022-06-09,7366
2022-06-10,5882
2022-06-11,5022
2022-06-12,4865
2022-06-13,5527
2022-06-14,7693
2022-06-15,8704
2022-06-16,8274
2022-06-17,7621
2022-06-18,6509
2022-06-19,5977
2022-06-20,8448
2022-06-21,9415
2022-06-22,9048
2022-06-23,8708
2022-06-24,7972
2022-06-25,7140
2022-06-26,7208
2022-06-27,9340
2022-06-28,10857
2022-06-29,11142
2022-06-30,10949
2022-07-01,10770
2022-07-02,8340
2022-07-03,9421
2022-07-04,11317
2022-07-05,13563
2022-07-06,13135
2022-07-07,12037
2022-07-08,10789
2022-07-09,8130
2022-07-10,8283
